region,s2_valid_pct,feature_valid_pct,label_valid_pct,flood_pixels,water_river_pixels
Aceh_Besar,28.447850496633297,35.913185549240154,36.648359821919726,1372818,802464
Aceh_Tamiang,0.00038575702404988386,49.68071947358862,50.21638672876436,1143570,1560362
Aceh_Timur,28.76482141295453,52.249721628780065,52.78412702316923,6830461,5146283
Aceh_Utara,45.58201758431668,56.372949818975,57.301251897405145,5711905,4054307
Agam,0.0,51.594568707262226,52.03522872315284,332115,0
Banda_Aceh,37.53692361068329,42.07613640416722,46.06040070426417,111116,69079
Bireuen,55.92273634635213,62.69377838604227,63.24183523591784,1040754,689329
Langsa,0.0,52.01748230467545,53.91729247521404,247096,355790
Pasaman_Barat,0.0016418212802347951,47.08702632701098,47.46144046521228,367204,0
Pidie,36.81794978236774,38.32620727845848,38.621072532463224,2345164,1232816
Pidie_Jaya,52.30725428381271,56.42859663232641,57.21565862365596,656176,379489
