model,tp,tn,fp,fn,fpr,fnr,evaluated_unique_pixels,unit_evaluasi
U-Net,4152973,21424542,246824,480896,0.0114,0.1038,26305235,piksel unik mosaik dalam effective_valid_mask
ProCANet,4143537,21452796,218570,490332,0.0101,0.1058,26305235,piksel unik mosaik dalam effective_valid_mask
