kondisi,model,fold_oof,wilayah,konfigurasi,piksel_kondisi,piksel_dievaluasi,tp,tn,fp,fn,iou,dice,precision,recall,specificity,fpr
Sentinel-2 kosong/hampir kosong,U-Net,2,Aceh Timur,grid_lr_5e-5_wd_1e-4,11122062,11122062,335091,10239397,379276,168298,0.379636,0.550342,0.469074,0.66567,0.964282,0.035718
Topografi sulit/kandidat radar shadow,U-Net,2,Aceh Timur,grid_lr_5e-5_wd_1e-4,3073295,3044723,1,3044231,377,114,0.002033,0.004057,0.002646,0.008696,0.999876,0.000124
Badan air permanen/sungai,U-Net,2,Aceh Timur,grid_lr_5e-5_wd_1e-4,421669,418480,0,177520,240960,0,–,–,–,–,0.424202,0.575798
Sentinel-2 kosong/hampir kosong,ProCANet,2,Aceh Timur,grid_lr_1e-4_wd_1e-4,11122062,11122062,335484,10274362,344311,167905,0.395758,0.567087,0.493508,0.666451,0.967575,0.032425
Topografi sulit/kandidat radar shadow,ProCANet,2,Aceh Timur,grid_lr_1e-4_wd_1e-4,3073295,3044723,3,3044265,343,112,0.00655,0.013015,0.008671,0.026087,0.999887,0.000113
Badan air permanen/sungai,ProCANet,2,Aceh Timur,grid_lr_1e-4_wd_1e-4,421669,418480,0,156679,261801,0,–,–,–,–,0.3744,0.6256
Sentinel-2 kosong/hampir kosong,U-Net,3,Bireuen,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,U-Net,3,Bireuen,grid_lr_5e-5_wd_1e-4,925848,919955,366,918417,238,934,0.237971,0.384454,0.60596,0.281538,0.999741,0.000259
Badan air permanen/sungai,U-Net,3,Bireuen,grid_lr_5e-5_wd_1e-4,119182,119182,0,100530,18652,0,–,–,–,–,0.8435,0.1565
Sentinel-2 kosong/hampir kosong,ProCANet,3,Bireuen,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Topografi sulit/kandidat radar shadow,ProCANet,3,Bireuen,grid_lr_1e-4_wd_1e-4,925848,919955,422,918498,157,878,0.289636,0.449175,0.728843,0.324615,0.999829,0.000171
Badan air permanen/sungai,ProCANet,3,Bireuen,grid_lr_1e-4_wd_1e-4,119182,119182,0,102361,16821,0,–,–,–,–,0.858863,0.141137
Sentinel-2 kosong/hampir kosong,U-Net,3,Langsa,grid_lr_5e-5_wd_1e-4,2039546,2039546,65741,1864705,70678,38422,0.376004,0.546516,0.481905,0.631136,0.963481,0.036519
Topografi sulit/kandidat radar shadow,U-Net,3,Langsa,grid_lr_5e-5_wd_1e-4,133,105,0,105,0,0,–,–,–,–,1.0,0.0
Badan air permanen/sungai,U-Net,3,Langsa,grid_lr_5e-5_wd_1e-4,67228,65932,0,34841,31091,0,–,–,–,–,0.528438,0.471562
Sentinel-2 kosong/hampir kosong,ProCANet,3,Langsa,grid_lr_1e-4_wd_1e-4,2039546,2039546,55114,1872722,62661,49049,0.330372,0.496661,0.46796,0.529113,0.967623,0.032377
Topografi sulit/kandidat radar shadow,ProCANet,3,Langsa,grid_lr_1e-4_wd_1e-4,133,105,0,105,0,0,–,–,–,–,1.0,0.0
Badan air permanen/sungai,ProCANet,3,Langsa,grid_lr_1e-4_wd_1e-4,67228,65932,0,36884,29048,0,–,–,–,–,0.559425,0.440575
Sentinel-2 kosong/hampir kosong,U-Net,4,Agam,grid_lr_5e-5_wd_1e-4,15350683,15350683,175390,14820039,266290,88964,0.330523,0.496832,0.397097,0.663466,0.982349,0.017651
Topografi sulit/kandidat radar shadow,U-Net,4,Agam,grid_lr_5e-5_wd_1e-4,1417218,923584,0,923515,7,62,0.0,0.0,0.0,0.0,0.999992,8e-06
Badan air permanen/sungai,U-Net,4,Agam,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Sentinel-2 kosong/hampir kosong,ProCANet,4,Agam,grid_lr_1e-4_wd_1e-4,15350683,15350683,171970,14822749,263580,92384,0.325741,0.49141,0.394834,0.650529,0.982529,0.017471
Topografi sulit/kandidat radar shadow,ProCANet,4,Agam,grid_lr_1e-4_wd_1e-4,1417218,923584,3,923168,354,59,0.007212,0.01432,0.008403,0.048387,0.999617,0.000383
Badan air permanen/sungai,ProCANet,4,Agam,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Sentinel-2 kosong/hampir kosong,U-Net,4,Pasaman Barat,grid_lr_5e-5_wd_1e-4,31912629,31912629,168560,31436660,155377,152032,0.354141,0.523049,0.520348,0.525777,0.995082,0.004918
Topografi sulit/kandidat radar shadow,U-Net,4,Pasaman Barat,grid_lr_5e-5_wd_1e-4,1153070,909183,3,909046,25,109,0.021898,0.042857,0.107143,0.026786,0.999972,2.8e-05
Badan air permanen/sungai,U-Net,4,Pasaman Barat,grid_lr_5e-5_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
Sentinel-2 kosong/hampir kosong,ProCANet,4,Pasaman Barat,grid_lr_1e-4_wd_1e-4,31912629,31912629,179604,31399846,192191,140988,0.350253,0.518797,0.483073,0.560226,0.993916,0.006084
Topografi sulit/kandidat radar shadow,ProCANet,4,Pasaman Barat,grid_lr_1e-4_wd_1e-4,1153070,909183,29,908786,285,83,0.073048,0.13615,0.092357,0.258929,0.999686,0.000314
Badan air permanen/sungai,ProCANet,4,Pasaman Barat,grid_lr_1e-4_wd_1e-4,0,0,0,0,0,0,–,–,–,–,–,–
