model,input_scenario,iou,dice_f1,accuracy,precision,recall,specificity,fpr,fnr,tp,tn,fp,fn,delta_iou,delta_dice,checkpoint,threshold
unet,all,0.8508847343625081,0.9194356823690315,0.9723331496563327,0.9439040788272645,0.8962037985968097,0.9886114700845345,0.011388529915465411,0.10379620140319029,4152891,21424561,246805,480978,0.0,0.0,/home/nozomi/Productive/skripsi/runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/best.pt,0.5
unet,sentinel1,0.5111921416471419,0.6765415562444124,0.9114661017094126,0.9491104162509976,0.5255983714688525,0.9939740762072866,0.00602592379271339,0.47440162853114753,2435554,21540776,130590,2198315,0.3396925927153662,0.24289412612461914,/home/nozomi/Productive/skripsi/runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/best.pt,0.5
unet,sentinel2,0.23858170947837035,0.385249850942574,0.46403253953062956,0.24140015611812848,0.9533463289531923,0.3594052631476945,0.6405947368523055,0.04665367104680775,4417682,7788803,13882563,216187,0.6123030248841378,0.5341858314264575,/home/nozomi/Productive/skripsi/runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/best.pt,0.5
unet,demnas,0.008941986128286467,0.017725471337753405,0.8248192042382438,0.7236116187194347,0.008972631725238671,0.9992671897101456,0.0007328102898543636,0.9910273682747613,41578,21655485,15881,4592291,0.8419427482342217,0.9017102110312781,/home/nozomi/Productive/skripsi/runs/unet/fold_0/grid_lr_5e-5_wd_1e-4/best.pt,0.5
procanet,all,0.8539032973835958,0.9211950791486321,0.9730501172105096,0.9498965395659934,0.8941771983627504,0.98991507964934,0.010084920350659944,0.10582280163724957,4143500,21452812,218554,490369,0.0,0.0,/home/nozomi/Productive/skripsi/runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/best.pt,0.5
procanet,sentinel1,0.3373449787909432,0.5044995631507548,0.8817241511052838,0.9627427918440783,0.3418072457378489,0.9971716134552847,0.0028283865447152707,0.6581927542621512,1583890,21610071,61295,3049979,0.5165583185926526,0.41669551599787724,/home/nozomi/Productive/skripsi/runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/best.pt,0.5
procanet,sentinel2,0.28487218125731006,0.4434249342662999,0.5963549080629769,0.2928439564858451,0.9127765588539511,0.5286962067827197,0.47130379321728033,0.0872234411460488,4229687,11457569,10213797,404182,0.5690311161262858,0.47777014488233216,/home/nozomi/Productive/skripsi/runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/best.pt,0.5
procanet,demnas,0.0006600062118231701,0.0013191417818760266,0.823865477727152,0.5552531301034295,0.0006603553100012106,0.9998869014532817,0.00011309854671828255,0.9993396446899988,3060,21668915,2451,4630809,0.8532432911717727,0.9198759373667561,/home/nozomi/Productive/skripsi/runs/procanet/fold_0/grid_lr_1e-4_wd_1e-4/best.pt,0.5
